Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82861;02/08/2019;0000;;38.6;;10.5;4.7;30.06;59.25;2.333333;
82861;02/08/2019;1200;0;;22.6;;;;;;
82861;03/08/2019;1200;0;;;;;;;;
82861;04/08/2019;1200;0;;;;;;;;
82861;05/08/2019;0000;;37.8;;6.7;;29.42;52.5;3;
82861;05/08/2019;1200;0;;22.6;;;;;;
82861;06/08/2019;0000;;36.3;;10.5;5.1;28.68;47.75;3.666667;
82861;06/08/2019;1200;0;;22;;;;;;
82861;07/08/2019;0000;;36.7;;10.5;6.1;28.84;52;2.666667;
82861;07/08/2019;1200;0;;22.1;;;;;;
82861;08/08/2019;0000;;36.9;;10.6;6.1;29.24;48.5;2.666667;
82861;08/08/2019;1200;0;;22.6;;;;;;
82861;09/08/2019;0000;;37.4;;10.5;6.1;28.5;45.5;2.666667;
82861;09/08/2019;1200;0;;20;;;;;;
82861;10/08/2019;1200;0;;;;;;;;
82861;11/08/2019;1200;0;;;;;;;;
82861;12/08/2019;0000;;39;;10.5;;30.08;49.75;1.666667;
82861;12/08/2019;1200;0;;20.6;;;;;;
82861;13/08/2019;0000;;40;;10.5;5.4;30.48;48.5;2;
82861;13/08/2019;1200;0;;22.3;;;;;;
82861;14/08/2019;0000;;39.4;;10.4;6.3;30.68;51.75;2;
82861;14/08/2019;1200;0;;22.1;;;;;;
82861;15/08/2019;0000;;37.7;;9.5;6.1;29.8;48;2.333333;
82861;15/08/2019;1200;0;;22;;;;;;
82861;16/08/2019;0000;;37.2;;10.6;6.4;28.5;45.5;3.666667;
82861;16/08/2019;1200;0;;20;;;;;;
82861;17/08/2019;1200;0;;;;;;;;
82861;18/08/2019;1200;0;;;;;;;;
82861;19/08/2019;0000;;39.7;;10.5;;29.9;53.5;2.333333;
82861;19/08/2019;1200;0;;22.1;;;;;;
82861;20/08/2019;0000;;40;;10;5.8;30.66;53;2;
82861;20/08/2019;1200;0;;21.8;;;;;;
82861;21/08/2019;0000;;39;;10;6.5;30.04;57.75;2;
82861;21/08/2019;1200;0;;23.7;;;;;;
82861;22/08/2019;0000;;38.6;;10.1;5.2;29.38;61.75;2.333333;
82861;22/08/2019;1200;0;;23.1;;;;;;
82861;23/08/2019;0000;;38.1;;9;4.8;29.64;57.5;2;
82861;23/08/2019;1200;0;;23.1;;;;;;
82861;24/08/2019;1200;0;;;;;;;;
82861;25/08/2019;1200;0;;;;;;;;
82861;26/08/2019;0000;;39;;10;;29.82;48.25;3.333333;
82861;26/08/2019;1200;0;;22.2;;;;;;
82861;27/08/2019;0000;;38.5;;9.7;6;30;47.25;2.333333;
82861;27/08/2019;1200;0;;23;;;;;;
82861;28/08/2019;0000;;38.7;;9.5;6.4;29.96;47;1.333333;
82861;28/08/2019;1200;0;;22.2;;;;;;
82861;29/08/2019;0000;;39.7;;10;6.4;30.88;50;1.666667;
82861;29/08/2019;1200;0;;23.8;;;;;;
82861;30/08/2019;0000;;38.5;;9.5;6.5;29.88;49;2.333333;
82861;30/08/2019;1200;0;;22.6;;;;;;
82861;31/08/2019;1200;0;;;;;;;;
