Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82861;01/12/2019;1200;0;;;;;;;;
82861;02/12/2019;0000;;35.8;;7.9;;29.14;70.75;2.74368;
82861;02/12/2019;1200;0;;23.1;;;;;;
82861;03/12/2019;0000;;36;;7.6;;29.88;65.75;2.40072;
82861;03/12/2019;1200;0;;23.6;;;;;;
82861;04/12/2019;0000;;31.2;;0.4;;25.16;86;2.40072;
82861;04/12/2019;1200;3.9;;23.8;;;;;;
82861;05/12/2019;0000;;;;;;;;3.60108;
82861;05/12/2019;1200;2.3;;21.6;;;;;;
82861;06/12/2019;0000;;35.7;;9.2;;28.8;70.75;2.40072;
82861;06/12/2019;1200;0;;23.3;;;;;;
82861;07/12/2019;1200;0;;;;;;;;
82861;08/12/2019;1200;0;;;;;;;;
82861;09/12/2019;0000;;34.7;;5.1;;27.14;88.75;2.40072;
82861;09/12/2019;1200;0;;25.1;;;;;;
82861;10/12/2019;0000;;34;;7.7;;27.72;78.5;2.05776;
82861;10/12/2019;1200;7;;23.6;;;;;;
82861;11/12/2019;0000;;35.6;;9.2;;28.68;74;2.05776;
82861;11/12/2019;1200;0;;25.3;;;;;;
82861;12/12/2019;0000;;34.4;;5.8;;27.2;84.5;2.5722;
82861;12/12/2019;1200;0;;25.1;;;;;;
82861;13/12/2019;0000;;32.6;;4.5;;27.6;87.25;1.37184;
82861;13/12/2019;1200;20.3;;23.4;;;;;;
82861;14/12/2019;1200;1.6;;;;;;;;
82861;15/12/2019;1200;12;;;;;;;;
82861;16/12/2019;0000;;34.5;;6.7;;28.06;83.75;2.05776;
82861;16/12/2019;1200;2.4;;24.1;;;;;;
82861;17/12/2019;0000;;34.3;;8.7;;27.68;77.25;3.08664;
82861;17/12/2019;1200;0.3;;24.2;;;;;;
82861;18/12/2019;0000;;34.3;;4.5;;28.48;77.75;1.37184;
82861;18/12/2019;1200;0;;23.4;;;;;;
82861;19/12/2019;0000;;33.8;;4.8;;27.34;79;1.7148;
82861;19/12/2019;1200;0;;24.7;;;;;;
82861;20/12/2019;0000;;34.7;;7.6;;28.3;77.25;2.74368;
82861;20/12/2019;1200;2.6;;24.2;;;;;;
82861;21/12/2019;1200;0.2;;;;;;;;
82861;22/12/2019;1200;0;;;;;;;;
82861;23/12/2019;0000;;35.7;;8.6;;29.02;75.25;1.7148;
82861;23/12/2019;1200;3.6;;24.4;;;;;;
82861;24/12/2019;0000;;36.9;;8.6;;29.8;70;1.37184;
82861;24/12/2019;1200;0;;24.5;;;;;;
82861;25/12/2019;1200;0;;;;;;;;
82861;26/12/2019;0000;;33.9;;4.8;;28.1;79.5;2.40072;
82861;26/12/2019;1200;38.7;;23.5;;;;;;
82861;27/12/2019;0000;;37.1;;9;;28.42;77.75;1.37184;
82861;27/12/2019;1200;0;;23.4;;;;;;
82861;28/12/2019;1200;1.2;;;;;;;;
82861;29/12/2019;1200;0;;;;;;;;
82861;30/12/2019;0000;;35.9;;4.5;;27.72;81.5;1.37184;
82861;30/12/2019;1200;32.8;;22.9;;;;;;
82861;31/12/2019;0000;;30.2;;1.8;;26.1;90;2.40072;
82861;31/12/2019;1200;0;;24.4;;;;;;
