Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82863;02/08/2019;0000;;37.3;;9.4;;27.34;60;1.7148;
82863;02/08/2019;1200;0;;19.6;;;;;;
82863;03/08/2019;0000;;38;;7.1;;27.4;61.25;0;
82863;03/08/2019;1200;0;;20.6;;;;;;
82863;04/08/2019;0000;;38.1;;9.7;;27.46;50.75;1.37184;
82863;04/08/2019;1200;0;;20.1;;;;;;
82863;05/08/2019;0000;;35.4;;8.7;;27.54;55.75;5.48736;
82863;05/08/2019;1200;0;;20.3;;;;;;
82863;06/08/2019;0000;;34.7;;9.5;;27.72;42.75;7.20216;
82863;06/08/2019;1200;0;;22.5;;;;;;
82863;07/08/2019;0000;;35;;9.3;;26.22;52.75;3.4296;
82863;07/08/2019;1200;0;;18.5;;;;;;
82863;08/08/2019;0000;;35.4;;9.9;;26.06;56.25;3.77256;
82863;08/08/2019;1200;0;;18.8;;;;;;
82863;09/08/2019;0000;;36.3;;9.8;;25.42;53.25;2.74368;
82863;09/08/2019;1200;0;;17.6;;;;;;
82863;10/08/2019;0000;;36.4;;9.8;;26.26;43;3.08664;
82863;10/08/2019;1200;0;;16.5;;;;;;
82863;11/08/2019;0000;;36.5;;9.6;;27.56;52.75;4.11552;
82863;11/08/2019;1200;0;;20;;;;;;
82863;12/08/2019;0000;;37.6;;9.7;;27.6;53.75;3.4296;
82863;12/08/2019;1200;0;;20.2;;;;;;
82863;13/08/2019;0000;;37.6;;9.8;;28;53.25;2.05776;
82863;13/08/2019;1200;0;;20.6;;;;;;
82863;14/08/2019;0000;;37.9;;9.8;;28.32;50;2.05776;
82863;14/08/2019;1200;0;;20.5;;;;;;
82863;15/08/2019;0000;;36.3;;9.1;;27.78;51;5.48736;
82863;15/08/2019;1200;0;;20.4;;;;;;
82863;16/08/2019;0000;;35;;10.1;;26.8;52.5;6.8592;
82863;16/08/2019;1200;0;;19;;;;;;
82863;17/08/2019;0000;;35.6;;9.9;;27;53;2.74368;
82863;17/08/2019;1200;0;;19.2;;;;;;
82863;18/08/2019;0000;;37.1;;9.9;;26.92;53.75;1.37184;
82863;18/08/2019;1200;0;;18.5;;;;;;
82863;19/08/2019;0000;;38.2;;9.9;;27.76;53.25;2.05776;
82863;19/08/2019;1200;0;;20;;;;;;
82863;20/08/2019;0000;;38.9;;9.5;;27.78;55.75;1.02888;
82863;20/08/2019;1200;0;;20.5;;;;;;
82863;21/08/2019;0000;;38.3;;9.8;;27.46;55.25;1.37184;
82863;21/08/2019;1200;0;;18.8;;;;;;
82863;22/08/2019;0000;;37.4;;8.7;;28.36;59.5;1.7148;
82863;22/08/2019;1200;0;;21.2;;;;;;
82863;23/08/2019;0000;;37.4;;9.6;;28.26;58;1.37184;
82863;23/08/2019;1200;0;;22.1;;;;;;
82863;24/08/2019;0000;;38.1;;9.6;;28;54;1.37184;
82863;24/08/2019;1200;0;;20.5;;;;;;
82863;25/08/2019;0000;;37.6;;8.8;;28.12;53.75;1.37184;
82863;25/08/2019;1200;0;;20.8;;;;;;
82863;26/08/2019;0000;;37.7;;9.6;;27.98;50.25;1.7148;
82863;26/08/2019;1200;0;;20.8;;;;;;
82863;27/08/2019;0000;;37.7;;10;;27.8;47.5;2.74368;
82863;27/08/2019;1200;0;;20.3;;;;;;
82863;28/08/2019;0000;;37.9;;10.1;;27.94;48;0.34296;
82863;28/08/2019;1200;0;;19.2;;;;;;
