Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83064;02/08/2019;0000;;37.8;;10.3;;28.98;45.75;0.51444;
83064;02/08/2019;1200;0;;20.5;;;;;;
83064;03/08/2019;0000;;37.6;;7.4;;28.4;65.75;0.34296;
83064;03/08/2019;1200;0;;21.2;;;;;;
83064;04/08/2019;0000;;39.3;;9.7;;29.24;49.75;0.51444;
83064;04/08/2019;1200;0;;21.7;;;;;;
83064;05/08/2019;0000;;36;;6.5;;28.68;45;0.34296;
83064;05/08/2019;1200;0;;21.6;;;;;;
83064;06/08/2019;0000;;34.6;;10.3;;27.32;43;1.54332;
83064;06/08/2019;1200;0;;22;;;;;;
83064;07/08/2019;0000;;34.9;;10.6;;27.88;40;1.37184;
83064;07/08/2019;1200;0;;21.7;;;;;;
83064;08/08/2019;0000;;36.3;;10.7;;27;41;1.37184;
83064;08/08/2019;1200;0;;20.1;;;;;;
83064;09/08/2019;0000;;36.7;;10.4;;26.12;49.25;0.51444;
83064;09/08/2019;1200;0;;17.3;;;;;;
83064;10/08/2019;0000;;37.4;;9.9;;27.6;47.5;1.37184;
83064;10/08/2019;1200;0;;18.3;;;;;;
83064;11/08/2019;0000;;37;;10.7;;28.74;43;1.7148;
83064;11/08/2019;1200;0;;20.8;;;;;;
83064;12/08/2019;0000;;38.4;;10.6;;29.2;43.25;0;
83064;12/08/2019;1200;0;;21;;;;;;
83064;13/08/2019;0000;;37.9;;9.9;;28.92;41;0.8574;
83064;13/08/2019;1200;0;;21.8;;;;;;
83064;14/08/2019;0000;;37.5;;10.6;;28.06;44;0.51444;
83064;14/08/2019;1200;0;;20.1;;;;;;
83064;15/08/2019;0000;;37.4;;9.3;;25.14;42.5;1.7148;
83064;15/08/2019;1200;0;;22.3;;;;;;
83064;16/08/2019;0000;;37.1;;10.8;;29.26;43;0.8574;
83064;16/08/2019;1200;0;;22.8;;;;;;
83064;17/08/2019;0000;;36.2;;9.9;;28.58;42.75;1.02888;
83064;17/08/2019;1200;0;;22.1;;;;;;
83064;18/08/2019;0000;;36.1;;10.7;;28.16;50;0.68592;
83064;18/08/2019;1200;0;;20.3;;;;;;
83064;19/08/2019;0000;;38.7;;10.7;;29.12;45;0.51444;
83064;19/08/2019;1200;0;;20.7;;;;;;
83064;20/08/2019;0000;;39.2;;9.6;;29.7;40.5;0.34296;
83064;20/08/2019;1200;0;;22.8;;;;;;
83064;21/08/2019;0000;;38.5;;10.1;;28.7;43;0.34296;
83064;21/08/2019;1200;0;;19.8;;;;;;
83064;22/08/2019;0000;;39;;9.8;;29.62;49.5;0.51444;
83064;22/08/2019;1200;0;;22.1;;;;;;
83064;23/08/2019;0000;;37;;10;;29.42;47.75;0.51444;
83064;23/08/2019;1200;0;;21.9;;;;;;
83064;24/08/2019;0000;;36.7;;7.2;;29.5;44.5;0.8574;
83064;24/08/2019;1200;0;;23.7;;;;;;
83064;25/08/2019;0000;;38.1;;6.3;;29.98;37.75;0.8574;
83064;25/08/2019;1200;0;;23.9;;;;;;
83064;26/08/2019;0000;;38.6;;10.4;;30.34;31.25;0.8574;
83064;26/08/2019;1200;0;;23.2;;;;;;
83064;27/08/2019;0000;;36.9;;9.8;;28.94;38.75;1.37184;
83064;27/08/2019;1200;0;;22.9;;;;;;
83064;28/08/2019;0000;;37.1;;10.7;;28.26;42.25;0.68592;
83064;28/08/2019;1200;0;;20.5;;;;;;
83064;29/08/2019;0000;;37.9;;10.6;;28.64;41.25;0;
83064;29/08/2019;1200;0;;19.9;;;;;;
83064;30/08/2019;0000;;38.5;;10.7;;29.8;36.75;1.20036;
83064;30/08/2019;1200;0;;21.6;;;;;;
83064;31/08/2019;0000;;38.7;;10.5;;30.08;38.5;1.20036;
83064;31/08/2019;1200;0;;21.2;;;;;;
83064;01/09/2019;0000;;38.8;;10.3;;;39;0.68592;
83064;01/09/2019;1200;0;;;;;;;;
83064;02/09/2019;0000;;39.6;;10.5;;30.06;35.5;0.8574;
83064;02/09/2019;1200;0;;21.2;;;;;;
83064;03/09/2019;0000;;39.5;;10.5;;30.72;34.25;1.02888;
83064;03/09/2019;1200;0;;24.1;;;;;;
83064;04/09/2019;0000;;39.1;;10.5;;30.74;40.75;0.51444;
83064;04/09/2019;1200;0;;24.9;;;;;;
83064;05/09/2019;0000;;38.8;;10.3;;30.92;41;0.68592;
83064;05/09/2019;1200;0;;24.1;;;;;;
83064;06/09/2019;0000;;39.9;;10.4;;30.96;31.5;0.8574;
83064;06/09/2019;1200;0;;25;;;;;;
83064;07/09/2019;0000;;38.6;;10.7;;30.5;32;1.37184;
83064;07/09/2019;1200;0;;26.1;;;;;;
83064;08/09/2019;0000;;38.7;;10.4;;30.84;36.75;1.54332;
83064;08/09/2019;1200;0;;26.1;;;;;;
83064;09/09/2019;0000;;37.7;;10.7;;30.64;43.75;1.02888;
83064;09/09/2019;1200;0;;24.2;;;;;;
83064;10/09/2019;0000;;39.1;;9.7;;;36.5;1.02888;
83064;10/09/2019;1200;0;;;;;;;;
83064;11/09/2019;0000;;39.8;;10.2;;;33.25;1.02888;
83064;11/09/2019;1200;0;;;;;;;;
83064;12/09/2019;0000;;41.1;;10.1;;;28;1.02888;
83064;12/09/2019;1200;0;;;;;;;;
83064;13/09/2019;0000;;41.5;;10.6;;;35.75;0.51444;
83064;13/09/2019;1200;0;;;;;;;;
83064;14/09/2019;0000;;39.9;;10.2;;;37;0.68592;
83064;14/09/2019;1200;0;;;;;;;;
83064;15/09/2019;0000;;38.9;;10.3;;;35;1.02888;
83064;15/09/2019;1200;0;;;;;;;;
83064;16/09/2019;0000;;38.6;;9.4;;;36.25;1.37184;
83064;16/09/2019;1200;0;;;;;;;;
83064;17/09/2019;0000;;38.6;;8.8;;;32.25;1.20036;
83064;17/09/2019;1200;0;;;;;;;;
83064;18/09/2019;0000;;38.5;;7.2;;;38;0.51444;
83064;18/09/2019;1200;0;;;;;;;;
83064;19/09/2019;0000;;39.4;;7.3;;;45;0.68592;
83064;19/09/2019;1200;0;;;;;;;;
83064;20/09/2019;0000;;39.7;;7.9;;;42.75;0.8574;
83064;20/09/2019;1200;0;;;;;;;;
83064;21/09/2019;0000;;38.3;;5.6;;;49.5;1.37184;
83064;21/09/2019;1200;0;;;;;;;;
83064;22/09/2019;0000;;39.9;;6;;;56.5;0.8574;
83064;22/09/2019;1200;0;;;;;;;;
83064;23/09/2019;0000;;39.1;;8;;;43.25;1.02888;
83064;23/09/2019;1200;1.1;;;;;;;;
83064;24/09/2019;0000;;39.7;;9.8;;;44;0;
83064;24/09/2019;1200;0;;;;;;;;
83064;25/09/2019;0000;;38.5;;9;;;39.5;1.37184;
83064;25/09/2019;1200;0;;;;;;;;
83064;26/09/2019;0000;;36.1;;2.6;;;57.5;0.51444;
83064;26/09/2019;1200;0;;;;;;;;
83064;27/09/2019;0000;;37.1;;5;;;66.5;0.51444;
83064;27/09/2019;1200;0;;;;;;;;
83064;28/09/2019;0000;;38.3;;4.4;;;54.75;1.37184;
83064;28/09/2019;1200;0;;;;;;;;
83064;29/09/2019;0000;;32.7;;0;;;88;1.7148;
83064;29/09/2019;1200;0;;;;;;;;
83064;30/09/2019;0000;;35.9;;7.1;;;70;2.05776;
83064;30/09/2019;1200;29.7;;;;;;;;
83064;01/10/2019;0000;;34.9;;5.6;;26.72;77.75;2.22924;
83064;01/10/2019;1200;1.2;;22.9;;;;;;
83064;02/10/2019;0000;;35.2;;4.4;;28.62;71.5;1.54332;
83064;02/10/2019;1200;11.6;;25.5;;;;;;
83064;03/10/2019;0000;;36.1;;6.6;;28.66;65;0.68592;
83064;03/10/2019;1200;2.2;;23.2;;;;;;
83064;04/10/2019;0000;;32.5;;4.1;;28.24;70;0.68592;
83064;04/10/2019;1200;0;;24.7;;;;;;
83064;05/10/2019;0000;;32.8;;3.2;;26.7;78.5;0.8574;
83064;05/10/2019;1200;0;;23.9;;;;;;
83064;06/10/2019;0000;;34.1;;4.2;;28.06;67.5;1.02888;
83064;06/10/2019;1200;0;;22.9;;;;;;
83064;07/10/2019;0000;;35.7;;3.5;;28.92;66.5;1.20036;
83064;07/10/2019;1200;0;;23.9;;;;;;
83064;08/10/2019;0000;;36.2;;4.3;;28.06;73;1.54332;
83064;08/10/2019;1200;0.6;;23.3;;;;;;
